Sembol,Açıklama,Fiyat,Fiyat - Döviz,"Fiyat değişimi %, 1 gün","Hacim, 1 gün","Bağıl hacim, 1 gün",Piyasa değeri,Piyasa değeri - Döviz,Fiyatın kazanca oranı,"Seyreltilmiş hisse başına kar, Son 12 ay","Seyreltilmiş hisse başına kar, Son 12 ay - Döviz","Seyreltilmiş hisse başına kar büyümesi %, TTM YY","Temettü verimi %, Son 12 ay",Sektör,Analist derecelendirmesi
SAYAS,SAY YENİLENEBİLİR ENERJİ EKİPMANLARI SANAYİ VE TİCARET A.Ş.,52.4,TRY,0.28708133971291594,5787172,2.708272330380118,4036312500,TRY,18.13023320185454,2.8902,TRY,,0,Üretici imalatı,Derecelendirme yok
SDTTR,SDT UZAY VE SAVUNMA TEKNOLOJİLERİ A.Ş.,237,TRY,-1.5371832156211005,535975,0.6256964261845155,13960599823,TRY,122.82974863954392,1.9295,TRY,89.20376544420475,0.0710585791441629,Elektronik teknoloji,Derecelendirme yok
SEGMN,Segmen Kardesler Gida Uretim ve Ambalaj Sanayi AS,46.84,TRY,-3.81930184804928,736733,0.6907912379302132,8717300137,TRY,37.56516160076991,1.2469,TRY,-3.0781189273221985,1.25820328542094,Dayanıklı olmayan tüketici ürünleri,Derecelendirme yok
SEGYO,ŞEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,3.95,TRY,0.5089058524173032,2383315,0.6305629974320455,3179587375,TRY,,-1.8177,TRY,-112.57162904923403,0,Finans,Derecelendirme yok
SEKFK,ŞEKER FİNANSAL KİRALAMA A.Ş.,5.38,TRY,3.6608863198458477,858953,0.7127757646679086,1003849802,TRY,4.334165793925723,1.2413,TRY,47.212998102466806,0,Finans,Derecelendirme yok
SEKUR,SEKURO PLASTİK AMBALAJ SANAYİ A.Ş.,11.29,TRY,-3.83304940374788,2009002,1.1810120493089948,2202909851,TRY,49.27979048450458,0.2291,TRY,2728.3950617283954,0,İşlenebilen endüstriler,Derecelendirme yok
SELEC,SELÇUK ECZA DEPOSU TİCARET VE SANAYİ A.Ş.,212,TRY,1.7762842054728702,4327448,0.6856354502139264,129354301895,TRY,111.43818334735072,1.9024,TRY,-32.7393579408853,0.211233797407585,Dağıtım servisleri,Al
SELVA,SELVA GIDA SANAYİ A.Ş.,1.72,TRY,-0.5780346820809253,14407554,0.31303849222246155,1821690020,TRY,,-0.7721,TRY,-457.2882924571958,0,Dayanıklı olmayan tüketici ürünleri,Derecelendirme yok
SERNT,Seranit Granit Seramik Sanayi ve Ticaret A.S.,8.02,TRY,-2.9055690072639253,8500921,1.4792909437335733,3411380095,TRY,,,,,0,Üretici imalatı,Derecelendirme yok
SEYKM,SEYİTLER KİMYA SANAYİ A.Ş.,4.66,TRY,0.2150537634408556,1404518,0.7293622469698444,930000019,TRY,33.238231098430816,0.1402,TRY,88.9487870619946,0,Sağlık teknolojisi,Derecelendirme yok
